temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,dewpoint_2m_mean,pressure_msl_mean,cloudcover_mean,date,temperature_2m_mean_7d_avg,temperature_2m_mean_3d_avg,windspeed_10m_max_7d_avg,windspeed_10m_max_3d_avg,relative_humidity_2m_mean_7d_avg,relative_humidity_2m_mean_3d_avg,precipitation_sum_7d_avg,precipitation_sum_3d_avg,shortwave_radiation_sum_7d_avg,shortwave_radiation_sum_3d_avg,cloudcover_mean_7d_avg,cloudcover_mean_3d_avg,dewpoint_2m_mean_7d_avg,dewpoint_2m_mean_3d_avg,pressure_msl_mean_7d_avg,pressure_msl_mean_3d_avg,temp_range,humidity_range
31.4,22.7,26.6,35.5,26.8,30.4,0.5,0.5,16.1,31.7,125,17.13,3.91,97,52,76,21.6,1015.2,84,2024-02-03,25.514285714285712,26.266666666666666,16.957142857142856,15.266666666666666,74.14285714285714,77.0,0.2,0.4666666666666666,18.337142857142855,17.126666666666665,59.714285714285715,76.0,19.842857142857145,21.366666666666664,1015.5285714285714,1014.8333333333334,8.7,45
32.5,22.4,26.5,35.5,26.2,29.9,0.7,0.7,14.7,32.8,125,18.01,4.17,96,46,76,21.5,1016.7,28,2024-02-04,25.642857142857142,26.53333333333333,16.02857142857143,15.066666666666663,74.71428571428571,76.66666666666667,0.3,0.6666666666666666,18.26285714285714,17.296666666666667,55.0,62.0,20.157142857142855,21.633333333333336,1015.4714285714286,1015.4333333333334,10.100000000000001,50
34.0,21.8,27.0,38.0,25.6,30.7,0.0,0.0,17.8,33.5,137,18.74,4.36,97,39,74,21.4,1016.5,19,2024-02-05,25.928571428571427,26.7,15.728571428571428,16.2,75.28571428571429,75.33333333333333,0.3,0.4000000000000001,18.21,17.959999999999997,45.57142857142857,43.666666666666664,20.599999999999998,21.5,1015.4714285714286,1016.1333333333333,12.2,58
34.5,23.1,27.6,38.5,28.0,31.8,0.0,0.0,16.4,31.3,169,19.02,4.41,98,36,75,22.0,1015.9,28,2024-02-06,26.357142857142858,27.03333333333333,15.714285714285714,16.299999999999997,75.85714285714286,75.0,0.3,0.2333333333333333,18.047142857142855,18.59,45.285714285714285,25.0,21.17142857142857,21.633333333333336,1015.5285714285714,1016.3666666666667,11.399999999999999,62
35.8,23.1,28.2,40.1,28.0,32.5,0.0,0.0,15.8,28.4,184,19.58,4.58,99,32,72,21.8,1015.0,25,2024-02-07,26.871428571428574,27.599999999999998,15.785714285714286,16.66666666666666,75.42857142857143,73.66666666666667,0.3,0.0,18.104285714285716,19.11333333333333,46.857142857142854,24.0,21.542857142857144,21.733333333333334,1015.5142857142856,1015.8000000000001,12.699999999999996,67
36.3,22.9,28.2,39.6,27.6,32.3,0.0,0.0,19.3,37.4,146,19.88,4.59,100,31,72,21.4,1014.1,31,2024-02-08,27.228571428571428,28.0,16.357142857142858,17.166666666666664,74.71428571428571,73.0,0.2857142857142857,0.0,18.444285714285716,19.493333333333332,41.285714285714285,28.0,21.642857142857142,21.733333333333334,1015.4,1015.0,13.399999999999999,69
33.6,23.5,27.7,37.7,27.7,31.2,0.3,0.3,17.9,36.4,115,18.0,4.41,96,45,74,22.0,1015.4,31,2024-02-09,27.4,28.03333333333333,16.857142857142858,17.666666666666664,74.14285714285714,72.66666666666667,0.21428571428571433,0.09999999999999999,18.622857142857146,19.153333333333332,35.142857142857146,29.0,21.67142857142857,21.733333333333334,1015.5428571428571,1014.8333333333334,10.100000000000001,51
33.3,23.5,27.3,35.8,27.0,30.1,0.0,0.0,18.4,37.8,118,18.58,4.71,95,43,72,21.3,1016.7,34,2024-02-10,27.5,27.73333333333333,17.185714285714287,18.533333333333328,73.57142857142857,72.66666666666667,0.14285714285714285,0.09999999999999999,18.830000000000002,18.819999999999997,28.0,32.0,21.628571428571426,21.566666666666666,1015.7571428571429,1015.4,9.799999999999997,52
33.2,22.1,26.4,36.1,25.1,28.8,0.0,0.0,18.8,38.5,120,20.18,4.94,92,43,70,20.0,1017.4,43,2024-02-11,27.485714285714288,27.133333333333336,17.771428571428572,18.366666666666664,72.71428571428571,72.0,0.04285714285714287,0.09999999999999999,19.139999999999997,18.919999999999998,30.142857142857142,36.0,21.41428571428571,21.099999999999998,1015.8571428571429,1016.5,11.100000000000001,49
32.8,20.2,25.4,35.2,22.6,27.6,0.0,0.0,19.2,39.6,115,21.3,4.96,97,41,72,19.4,1017.2,75,2024-02-12,27.25714285714286,26.366666666666664,17.971428571428568,18.799999999999997,72.42857142857143,71.33333333333333,0.04285714285714287,0.0,19.505714285714284,20.02,38.142857142857146,50.666666666666664,21.12857142857143,20.23333333333333,1015.9571428571428,1017.1,12.599999999999998,56
